district,area,year,rooms,value,floor,elevator,parking,warehouse
 کوی فردوس ,146,1397,3,10100000000,3,True,True,True
 میرداماد ,160,1401,3,22400000000,4,True,True,True
 پاسداران,160,1399,3,20000000000,4,True,True,True
 شهرک نفت (منطقه ۵) ,77,1384,2,3950000000,3,False,True,True
 کامرانیه ,92,1380,2,14800000000,10,True,True,True
 سلسبیل ,63,1390,1,2850000000,2,True,False,False
 ستارخان ,85,1381,2,5400000000,3,False,True,True
 جنت‌آباد مرکزی ,75,1384,2,4500000000,4,True,True,True
 شهر زیبا ,76,1383,2,3850000000,1,False,True,True
 ستارخان ,121,1401,3,7623000000,5,True,True,True
 جنت‌آباد جنوبی ,93,1396,2,6200000000,1,True,True,True
 خواجه نصیر طوسی ,57,1380,2,2308500000,1,False,True,True
 ستارخان ,105,1386,2,5900000000,5,True,True,True
 فرحزاد,75,1395,2,4500000000,3,True,True,True
 چیتگر ,130,1401,3,2275000000,19,True,True,True
 جردن ,119,1375,2,9000000000,2,True,True,True
 الهیه ,170,1401,3,40000000000,5,True,True,True
 امیرآباد ,122,1380,3,6150000000,3,False,True,True
 اباذر ,95,1401,2,8550000000,3,True,True,True
 امام سجاد(ع) ,90,1388,2,2520000000,2,False,True,True
 استاد معین ,102,1400,2,3900000000,2,True,True,True
 سازمان آب ,107,1382,2,5450000000,1,True,True,True
 شهر زیبا ,108,1394,2,6600000000,4,True,True,True
 شهر زیبا ,96,1393,2,5850000000,2,True,True,True
 چیتگر ,100,1401,2,1200000000,11,True,True,True
 یافت‌آباد ,40,1385,1,800000000,2,False,False,False
 سعادت‌آباد ,126,1395,2,15100000000,2,True,True,True
 زعفرانیه ,151,1401,3,24000000000,3,True,True,True
 سبلان ,65,1381,2,2297000000,2,False,True,True
 سعادت‌آباد ,110,1398,2,15400000000,6,True,True,True
 شهران جنوبی ,86,1387,2,4980000000,5,True,True,True
 جردن ,142,1394,2,12800000000,5,True,True,True
 سعادت‌آباد,125,1383,3,10500000000,2,True,True,True
 جوادیه ,100,1401,2,3500000000,2,True,True,True
 نیاوران ,245,1397,3,48000000000,5,True,True,True
 مبارک‌آباد بهشتی ,53,1399,1,1100000000,3,True,False,False
 اقدسیه ,205,1401,3,31000000000,6,True,True,True
 الهیه ,270,1399,3,65000000000,6,True,True,True
 پاسداران,106,1397,2,9900000000,3,True,True,True
 گیشا (کوی نصر) ,89,1400,2,9700000000,2,True,True,True
 امیریه ,80,1400,2,3550000000,3,True,True,True
 نیاوران ,600,1389,4,110000000000,12,True,True,True
 جی ,70,1400,2,3200000000,4,True,True,True
 نیرو هوایی ,113,1393,2,7050000000,2,True,True,True
 چیتگر ,100,1401,2,1250000000,16,True,True,True
 زعفرانیه ,250,1401,3,62000000000,10,True,True,True
 قیطریه ,179,1401,3,13425000000,11,True,True,True
 مسعودیه ,56,1394,2,1900000000,2,True,True,True
 ظفر ,135,1400,3,11500000000,3,True,True,True
 جوادیه ,103,1396,3,2600000000,3,True,False,False
 پونک ,100,1401,2,8500000000,6,True,True,True
 نیاوران ,290,1401,4,58000000000,2,True,True,True
 دهکده المپیک ,110,1401,2,3410000000,19,True,True,True
 پاسداران ,115,1400,2,11000000000,4,True,True,True
 نیاوران ,250,1395,4,32500000000,1,True,True,True
 دریاچه شهدای خلیج فارس,152,1397,2,6239000000,14,True,True,True
 چیتگر ,130,1401,3,2275000000,11,True,True,True
 جنت‌آباد مرکزی ,100,1397,2,6350000000,2,True,True,True
 دریاچه شهدای خلیج فارس ,100,1401,2,1750000000,13,True,True,True
 دریاچه شهدای خلیج فارس ,100,1401,2,1750000000,16,True,True,True
 دریاچه شهدای خلیج فارس ,102,1401,2,1750000000,19,True,True,True
 دریاچه شهدای خلیج فارس ,100,1401,2,1750000000,16,True,True,True
 سهروردی ,123,1400,3,12200000000,1,True,True,True
 فرمانیه ,175,1381,3,15500000000,5,True,True,True
 گیشا (کوی نصر) ,105,1396,2,11000000000,6,True,True,True
 قیطریه ,115,1385,2,10200000000,3,True,True,True
 دریاچه شهدای خلیج فارس ,120,1401,3,4690000000,1,True,True,True
 دریاچه شهدای خلیج فارس,100,1401,2,1750000000,14,True,True,True
 دزاشیب ,105,1391,2,10000000000,3,True,True,True
 دریاچه شهدای خلیج فارس,100,1401,2,1750000000,3,True,True,True
 زعفرانیه ,245,1401,3,58300000000,5,True,True,True
 دریاچه شهدای خلیج فارس ,102,1401,2,1750000000,8,True,True,True
 دریاچه شهدای خلیج فارس,130,1401,3,2280000000,11,True,True,True
 دریاچه شهدای خلیج فارس ,103,1401,2,1750000000,15,True,True,True
 دریاچه شهدای خلیج فارس ,163,1398,3,11200000000,19,True,True,True
 زعفرانیه ,190,1396,3,34000000000,1,True,True,True
 سعادت‌آباد ,140,1398,3,15000000000,5,True,True,True
 فرمانیه ,350,1398,4,60000000000,5,True,True,True
 چیتگر ,100,1401,2,1250000000,11,True,True,True
 اوین,124,1397,3,14200000000,5,True,True,True
 جردن,112,1397,2,11900000000,2,True,True,True
 دریاچه شهدای خلیج فارس ,120,1401,3,1620000000,14,True,True,True
 ستارخان,121,1401,3,7625000000,2,True,True,True
 فرمانیه,147,1393,3,11400000000,3,True,True,True
 زعفرانیه ,390,1401,4,80000000000,5,True,True,True
 فرمانیه ,215,1398,3,23500000000,6,True,True,True
 دریاچه شهدای خلیج فارس,100,1401,2,1400000000,10,True,True,True
 شهر زیبا ,113,1386,2,5900000000,1,True,True,True
 ولنجک ,270,1400,3,95700000000,7,True,True,True
 شهر زیبا ,100,1383,2,5450000000,8,True,True,True
 ولنجک ,290,1400,3,66700000000,8,True,True,True
 دزاشیب ,250,1401,3,37500000000,3,True,True,True
 پونک ,150,1399,3,12400000000,3,True,True,True
 باغ فیض ,76,1380,2,4750000000,1,False,True,True
 زعفرانیه ,400,1401,4,72000000000,2,True,True,True
 سعادت‌آباد ,420,1401,4,100000000000,10,True,True,True
 سعادت‌آباد ,320,1401,4,65000000000,7,True,True,True
 ابوذر (منطقه ۱۵) ,100,1386,2,4750000000,3,True,True,True
 استاد معین ,115,1399,3,5000000000,3,True,True,True
 جردن,93,1399,2,11000000000,5,True,True,True
 هروی ,184,1401,3,14567891234,9,True,True,True
 تهرانپارس غربی ,82,1395,2,5100000000,1,True,True,True
 باغ فیض ,604,1401,4,48320000000,1,True,True,True
 شهران جنوبی ,55,1387,1,3750000000,3,True,True,True
 الهیه ,420,1401,4,235200000000,16,True,True,True
 جیحون ,66,1375,2,2280000000,1,False,False,False
 شهران جنوبی ,100,1380,2,5500000000,3,True,True,True
 دهکده المپیک,220,1401,4,6820000000,15,True,True,True
 سعادت‌آباد ,87,1398,2,9000000000,2,True,True,True
 مرزداران ,130,1401,3,15000000000,5,True,True,True
 زعفرانیه ,225,1392,3,31500000000,4,True,True,True
 زعفرانیه ,265,1387,4,26500000000,4,True,True,True
 نیاوران ,220,1401,3,33000000000,7,True,True,True
 هروی ,104,1401,2,8840000000,3,True,True,True
 هروی ,106,1401,2,9000000000,4,True,True,True
 هروی ,182,1401,3,14560000000,4,True,True,True
 هروی,103,1401,2,8755000000,5,True,True,True
 هروی ,117,1401,2,9360000000,2,True,True,True
 فاطمی ,83,1375,2,4350000000,1,False,False,False
 فاطمی ,90,1389,2,6500000000,2,True,True,True
 فاطمی ,96,1371,2,4100000000,4,False,False,False
 دریاچه شهدای خلیج فارس ,142,1399,2,10500000000,21,True,True,True
 کوهک,120,1401,2,9000000000,2,True,True,True
 آذری ,72,1381,2,2550000000,3,False,True,True
 سلیمانی ,57,1401,1,2450000000,5,True,False,False
 قیطریه ,85,1395,2,7600000000,3,True,True,True
 چیتگر ,125,1401,3,2062500000,20,True,True,True
 دریاچه شهدای خلیج فارس ,125,1391,3,5300000000,7,True,True,True
